140.0000.201100.000000.000.0000000                                                                                                                         	140                      	201100                   	000                      	 	 	 	 	 	 	 	01/31/2017	 	 	                -11104534                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
140.0000.201115.000000.000.0000000                                                                                                                         	140                      	201115                   	000                      	 	 	 	 	 	 	 	01/31/2017	 	 	                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
140.0000.201900.000000.110.0000000                                                                                                                         	140                      	201900                   	110                      	 	 	 	 	 	 	 	01/31/2017	 	 	                   -42160                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
140.0000.201900.000000.120.0000000                                                                                                                         	140                      	201900                   	120                      	 	 	 	 	 	 	 	01/31/2017	 	 	                -22145000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
140.0000.201900.000000.130.0000000                                                                                                                         	140                      	201900                   	130                      	 	 	 	 	 	 	 	01/31/2017	 	 	                 -1624499                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
140.0000.201900.000000.300.0000000                                                                                                                         	140                      	201900                   	300                      	 	 	 	 	 	 	 	01/31/2017	 	 	                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
140.0000.201900.000000.410.0000000                                                                                                                         	140                      	201900                   	410                      	 	 	 	 	 	 	 	01/31/2017	 	 	                -416685.5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
140.0000.201900.000000.720.0000000                                                                                                                         	140                      	201900                   	720                      	 	 	 	 	 	 	 	01/31/2017	 	 	                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
140.0000.201900.000000.740.0000000                                                                                                                         	140                      	201900                   	740                      	 	 	 	 	 	 	 	01/31/2017	 	 	                      -.2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
150.0000.201100.000000.000.0000000                                                                                                                         	150                      	201100                   	000                      	 	 	 	 	 	 	 	01/31/2017	 	 	                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
